Date,r,xs,xb,snom,spe,sspr
1/1/1966,0.003825,0.008297,-0.003894,0.0459,3.169975364,0.0027
2/1/1966,-0.002414,-0.012496,-0.011917,0.0465,3.169975364,0.0033
3/1/1966,0.0007,-0.024748,0.014896,0.0459,3.169975364,0.0033
4/1/1966,-0.002381,0.020987,-0.005704,0.0462,3.169975364,0.0021
5/1/1966,0.003866667,-0.056405667,-0.002795667,0.0464,3.169975364,0.0025
6/1/1966,0.000654,-0.014067,-0.005491,0.045,3.169975364,0.0047
7/1/1966,0.000914,-0.01687,-0.007152,0.048,3.169975364,0.0037
8/1/1966,-0.002020667,-0.079521333,-0.016600333,0.0496,3.169975364,0.0054
9/1/1966,0.004475,-0.011433,0.019719,0.0537,3.169975364,0.0013
10/1/1966,-0.001657667,0.037835667,0.001584667,0.0535,3.169975364,-0.0008
11/1/1966,0.004433333,0.013082667,-0.003719333,0.0532,3.169975364,0.0004
12/1/1966,0.004133333,0.002076667,0.024186667,0.0496,3.169975364,0.0004
1/1/1967,0.003933333,0.081596667,0.006618667,0.0472,3.000127113,-0.0002
2/1/1967,0.0038,0.007145,-0.004804,0.0456,3.000127113,0.0018
3/1/1967,0.00051,0.039834,0.015202,0.0426,3.000127113,0.0028
4/1/1967,0.00017,0.038409,-0.010942,0.0384,3.000127113,0.0067
5/1/1967,-2.1E-05,-0.042293,0.000731,0.036,3.000127113,0.0115
6/1/1967,-0.000062,0.023953,-0.025572,0.0354,3.000127113,0.0147
7/1/1967,0.000505333,0.045680667,0.009191667,0.0421,3.000127113,0.0102
8/1/1967,0.000564333,-0.009840333,-0.007141333,0.0427,3.000127113,0.0104
9/1/1967,0.000698333,0.030602667,-0.000686333,0.0442,3.000127113,0.0098
10/1/1967,0.000824,-0.031233,-0.013623,0.0456,3.000127113,0.0101
11/1/1967,0.000974667,0.003960333,0.000188333,0.0473,3.000127113,0.0105
12/1/1967,0.001182667,0.029557333,-0.001466667,0.0497,3.000127113,0.0078
1/1/1968,-0.001733333,-0.040496667,0.010368333,0.05,3.052776478,0.0054
2/1/1968,0.001217,-0.037774,0.000509,0.0498,3.052776478,0.0061
3/1/1968,0.001384333,0.000807667,-0.006922333,0.0517,3.052776478,0.0059
4/1/1968,0.001568333,0.089664667,-0.006749333,0.0538,3.052776478,0.0031
5/1/1968,0.001809667,0.022324333,0.002320333,0.0566,3.052776478,0.0038
6/1/1968,-0.001197,0.006927,0.012064,0.0552,3.052776478,0.0033
7/1/1968,-0.001339,-0.026449,0.013202,0.0531,3.052776478,0.0029
8/1/1968,0.001376667,0.013796333,-0.002143667,0.0509,3.052776478,0.0041
9/1/1968,0.001468,0.040129,0.000871,0.0519,3.052776478,0.0029
10/1/1968,-0.001239667,0.004582667,-0.003547333,0.0535,3.052776478,0.002
