Date,r,xs,xb,snom,spe,sspr,Bearish,Bullish
3/1/1996,-0.001031667,0.006793667,-0.014747333,0.0496,3.189982161,0.0101,0.45,0.24
4/1/1996,0.000271,0.021386,-0.010734,0.0495,3.189982161,0.0135,0.28,0.32
5/1/1996,0.002264333,0.022618667,-0.006822333,0.0502,3.189982161,0.0146,0.61,0.1
6/1/1996,0.003602667,-0.012539667,0.007044333,0.0509,3.189982161,0.016,0.42,0.17
7/1/1996,0.002377667,-0.058110667,-0.002326667,0.0515,3.189982161,0.0149,0.3,0.38
8/1/1996,0.002297333,0.028254667,-0.005166333,0.0505,3.189982161,0.0134,0.28,0.29
9/1/1996,0.001062667,0.048793333,0.011853333,0.0509,3.189982161,0.0151,0.34,0.27
10/1/1996,0.000989333,0.009580667,0.016750667,0.0499,3.189982161,0.0128,0.37,0.34
11/1/1996,0.002296667,0.061377333,0.011390333,0.0503,3.189982161,0.0094,0.52,0.21
12/1/1996,0.004091667,-0.015479667,-0.015405667,0.0491,3.189982161,0.0116,0.37,0.3
1/1/1997,0.001038667,0.049281333,-0.001093667,0.0503,3.313968805,0.013,0.51,0.16
2/1/1997,0.001032,-0.005297,-0.005571,0.0501,3.313968805,0.0119,0.63,0.15
3/1/1997,0.001777333,-0.049151333,-0.014548333,0.0514,3.313968805,0.014,0.27,0.33
4/1/1997,0.00305,0.038073,0.008836,0.0516,3.313968805,0.016,0.28,0.32
5/1/1997,0.004832333,0.067415667,0.005142667,0.0505,3.313968805,0.0152,0.4,0.2
6/1/1997,0.002859333,0.039986667,0.005318667,0.0493,3.313968805,0.0145,0.52,0.23
7/1/1997,0.002960333,0.072305667,0.020494667,0.0505,3.313968805,0.0107,0.48,0.26
8/1/1997,0.002414333,-0.040573333,-0.012295333,0.0514,3.313968805,0.0102,0.5,0.22
9/1/1997,0.001637,0.054374,0.009208,0.0495,3.313968805,0.0116,0.39,0.19
10/1/1997,0.001660667,-0.038577667,0.008496333,0.0497,3.313968805,0.0096,0.41,0.23
11/1/1997,0.004902333,0.026120667,-0.003140333,0.0514,3.313968805,0.0066,0.4,0.2
12/1/1997,0.005538,0.013517,0.005477,0.0516,3.313968805,0.0061,0.34,0.31
1/1/1998,0.00234,0.000302,0.0138,0.0504,3.474769925,0.0038,0.38,0.2
2/1/1998,0.002385667,0.069061333,-0.009020667,0.0509,3.474769925,0.004,0.53,0.14
3/1/1998,0.002338667,0.047109333,-0.001736667,0.0503,3.474769925,0.0058,0.45,0.2
4/1/1998,0.002275,0.006779,0.000703,0.0495,3.474769925,0.0066,0.44,0.25
5/1/1998,0.002320667,-0.029914667,0.001643333,0.05,3.474769925,0.0063,0.34,0.26
6/1/1998,0.002921,0.027794,0.003111,0.0498,3.474769925,0.0054,0.28,0.28
7/1/1998,0.002906333,-0.027500333,-0.000386333,0.0496,3.474769925,0.005,0.44,0.2
8/1/1998,0.002858333,-0.161927333,0.024598667,0.049,3.474769925,0.0037,0.23,0.45
9/1/1998,0.002617667,0.059985333,0.023146333,0.0461,3.474769925,1.00E-04,0.34,0.28
10/1/1998,0.000855,0.071093,-0.003474,0.0396,3.474769925,0.0022,0.43,0.21
11/1/1998,0.003675,0.058348,-0.008194,0.0441,3.474769925,0.0013,0.48,0.17
12/1/1998,0.004268333,0.059392667,-0.001890333,0.0439,3.474769925,0.0006,0.41,0.22
1/1/1999,0.001175667,0.034839333,0.002854333,0.0434,3.699757362,0.0026,0.47,0.2
2/1/1999,0.002483,-0.041785,-0.029661,0.0444,3.699757362,0.0047,0.37,0.24
3/1/1999,0.00066,0.034232,0.005204,0.0444,3.699757362,0.007,0.38,0.29
4/1/1999,-0.003698,0.04553,-0.001272,0.0429,3.699757362,0.0079,0.41,0.27
5/1/1999,0.00375,-0.024457,-0.016965,0.045,3.699757362,0.0094,0.38,0.2
6/1/1999,0.003808333,0.047012667,-0.000610333,0.0457,3.699757362,0.0124,0.3,0.31
7/1/1999,0.000783667,-0.034507667,-0.003439667,0.0455,3.699757362,0.0113,0.42,0.2
8/1/1999,0.001533333,-0.013919333,-0.002007333,0.0472,3.699757362,0.0112,0.35,0.25
9/1/1999,-0.000888,-0.026745,0.005843,0.0468,3.699757362,0.0112,0.35,0.23
10/1/1999,0.002263,0.058096,-0.005176,0.0486,3.699757362,0.0117,0.38,0.24
11/1/1999,0.00363,0.032598,-0.00513,0.0507,3.699757362,0.009,0.55,0.17
12/1/1999,0.004333333,0.079424667,-0.009187333,0.052,3.699757362,0.0099,0.6,0.15
1/1/2000,0.001462333,-0.044045333,-0.010020333,0.0532,3.750374326,0.0126,0.537,0.2037
2/1/2000,-0.001299,0.027153,0.004544,0.0555,3.750374326,0.0113,0.4138,0.3103
3/1/2000,-0.003503333,0.048758333,0.012893333,0.0569,3.750374326,0.0081,0.3889,0.5
4/1/2000,0.004132667,-0.064243667,-0.008990667,0.0566,3.750374326,0.006,0.6129,0.1452
5/1/2000,0.003657,-0.043696,7.80E-05,0.0579,3.750374326,0.009,0.3492,0.3651
6/1/2000,-0.000506333,0.046856333,0.013759333,0.0569,3.750374326,0.0061,0.2667,0.4
7/1/2000,0.002646667,-0.022678667,0.002233333,0.0596,3.750374326,0.0022,0.4286,0.2
8/1/2000,0.005075,0.069932,0.008229,0.0609,3.750374326,-0.0003,0.5588,0.1765
9/1/2000,-0.000208,-0.056145,0.005004,0.06,3.750374326,-0.0007,0.5333,0.0667
10/1/2000,0.003364667,-0.029583667,0.003002333,0.0611,3.750374326,-0.0033,0.641,0.1795
11/1/2000,0.004566667,-0.107512667,0.011185333,0.0617,3.750374326,-0.0047,0.6042,0.1667
12/1/2000,0.005382333,0.015617667,0.018546667,0.0577,3.750374326,-0.006,0.4,0.32
1/1/2001,-0.002030333,0.035307333,0.009218333,0.0515,3.586542225,-0.0029,0.4923,0.2615
2/1/2001,6.87E-05,-0.103165667,0.007243333,0.0488,3.586542225,0.0001,0.2632,0.386
3/1/2001,0.001408333,-0.074073333,0.004575667,0.0442,3.586542225,0.0022,0.3725,0.2745
4/1/2001,-0.000748,0.080606,-0.011462,0.0387,3.586542225,0.0089,0.4655,0.3103
5/1/2001,-0.001505333,0.007441333,-0.001005667,0.0362,3.586542225,0.0131,0.4935,0.2857
6/1/2001,0.001220333,-0.020462333,-0.000678333,0.0349,3.586542225,0.0132,0.3038,0.3291
7/1/2001,0.005734,-0.021219,0.019481,0.0351,3.586542225,0.0125,0.2952,0.381
8/1/2001,0.0028,-0.06178,0.009176,0.0336,3.586542225,0.0121,0.3143,0.2286
9/1/2001,-0.002307,-0.093688,0.021623,0.0264,3.586542225,0.0148,0.5111,0.2222
10/1/2001,0.005165,0.026033,0.018908,0.0216,3.586542225,0.0175,0.5588,0.1765
11/1/2001,0.003246333,0.077221667,-0.019857333,0.0187,3.586542225,0.021,0.6933,0.2
12/1/2001,0.005354333,0.016439667,-0.010435333,0.0169,3.586542225,0.027,0.5769,0.2692
1/1/2002,-0.000889,-0.017352,0.002548,0.0165,3.405803835,0.0269,0.4545,0.2273
2/1/2002,-0.002511333,-0.023136667,0.010223333,0.0173,3.405803835,0.0257,0.4444,0.2037
3/1/2002,-0.004132333,0.043190333,-0.024744667,0.0179,3.405803835,0.0295,0.5116,0.2326
4/1/2002,-0.004159667,-0.051050333,0.022289667,0.0172,3.405803835,0.0293,0.3667,0.2333
5/1/2002,0.001441667,-0.011964667,0.009405333,0.0173,3.405803835,0.0276,0.2826,0.4022
6/1/2002,0.000860667,-0.071665667,0.014915333,0.017,3.405803835,0.0249,0.3097,0.4602
7/1/2002,0.000288,-0.08255,0.026637,0.0168,3.405803835,0.0213,0.2791,0.4884
8/1/2002,-0.001981,0.006629,0.015475,0.0162,3.405803835,0.0167,0.5,0.2903
9/1/2002,-0.000301667,-0.101278333,0.028847667,0.0163,3.405803835,0.0131,0.2451,0.4706
10/1/2002,-0.000340333,0.073606333,-0.004794667,0.0158,3.405803835,0.0137,0.5147,0.2794
11/1/2002,0.001025,0.060246,-0.018102,0.0123,3.405803835,0.0182,0.5106,0.3191
12/1/2002,0.003197667,-0.054304667,0.027056333,0.0119,3.405803835,0.0184,0.4,0.32
1/1/2003,-0.003447,-0.024367,-0.007142,0.0117,3.130577328,0.0188,0.2553,0.4787
2/1/2003,-0.00673,-0.016365,0.015718,0.0117,3.130577328,0.0173,0.2602,0.4715
3/1/2003,-0.005066333,0.009383333,-0.000921667,0.0113,3.130577328,0.0165,0.3942,0.3269
4/1/2003,0.003113667,0.081820333,0.000795333,0.0113,3.130577328,0.018,0.63,0.19
5/1/2003,0.002523667,0.062579333,0.024323333,0.0107,3.130577328,0.0145,0.6286,0.1429
6/1/2003,-0.000323333,0.015569333,-0.003557667,0.0092,3.130577328,0.0135,0.7143,0.0857
7/1/2003,-0.000339,0.022362,-0.03144,0.009,3.130577328,0.0197,0.5154,0.1615
8/1/2003,-0.003014333,0.024174333,-0.003415667,0.0095,3.130577328,0.0242,0.567,0.2268
9/1/2003,-0.002466667,-0.009895333,0.032637667,0.0094,3.130577328,0.0224,0.5728,0.2233
10/1/2003,0.001846667,0.059552333,-0.015359667,0.0092,3.130577328,0.0227,0.5781,0.1875
