Date,r,xs,xb
9/1/1978,114.1413052,348.6029098,100.6383438
10/1/1978,113.871399,307.5879184,98.77851365
11/1/1978,114.1821541,315.7672963,99.50433817
12/1/1978,114.5379077,318.9702291,97.48294067
1/1/1979,114.4151994,332.270437,98.943755
2/1/1979,113.9636789,320.7962526,97.52800176
3/1/1979,113.7095399,339.3119707,97.95380901
4/1/1979,113.3027251,339.5286781,97.40660642
5/1/1979,112.7657079,332.2001781,98.68328237
6/1/1979,112.3553535,345.2556451,100.0345526
7/1/1979,111.9772777,347.772904,99.08732538
8/1/1979,111.7933363,367.5245502,97.68421586
9/1/1979,111.5373296,364.9070404,96.70571307
10/1/1979,111.7277238,334.8350512,90.79003119
11/1/1979,111.7853753,352.8418106,93.40333144
12/1/1979,111.7287374,359.2560043,93.14158421
1/1/1980,111.2436112,379.233153,90.83241805
2/1/1980,110.8628985,375.5539592,84.58871871
3/1/1980,110.5810481,325.6463431,84.33785674
4/1/1980,110.554951,339.0916293,92.35998934
5/1/1980,110.2534676,357.0431401,95.67672891
6/1/1980,109.6900357,368.4050858,96.2991379
7/1/1980,110.4267871,391.5119439,94.25483556
8/1/1980,110.4658046,397.7544715,89.08634027
9/1/1980,110.4829635,406.0833177,88.17335379
10/1/1980,110.5005671,410.3105098,85.50960741
11/1/1980,110.8526956,448.6783719,84.09505045
12/1/1980,111.2463705,427.4481079,86.23574605
1/1/1981,111.7364849,404.9636249,85.50906613
2/1/1981,111.9577232,406.2578887,82.54694657
3/1/1981,112.4399624,420.4974986,83.74607858
4/1/1981,112.960372,410.9621573,80.79609507
5/1/1981,113.6073336,410.9488832,81.91953787
6/1/1981,113.9897359,401.6955472,81.36985777
7/1/1981,114.1516393,395.4538681,78.38371963
8/1/1981,114.7547024,368.0868786,76.02554543
9/1/1981,115.0414744,340.1041779,75.19770326
10/1/1981,116.0926467,356.7280167,79.20240711
11/1/1981,116.7703955,369.855251,83.80596782
12/1/1981,117.4522958,356.1196899,79.80183039
1/1/1982,118.2794339,343.1418576,79.43750846
2/1/1982,119.2318593,321.7437602,79.62837034
3/1/1982,120.6177708,315.0947108,79.1662338
4/1/1982,121.3837338,325.3931614,80.77288615
5/1/1982,121.4554715,312.9348334,80.84768184
6/1/1982,121.1962451,302.2000211,78.65722167
7/1/1982,121.7177929,293.138755,81.75471687
8/1/1982,122.3485751,325.9057075,84.63196515
9/1/1982,122.9056281,329.2172354,87.18107994
10/1/1982,123.3187139,366.1590305,91.21024073
11/1/1982,124.3992325,382.7130803,91.2099671
12/1/1982,125.7301385,385.7362584,92.23045458
1/1/1983,126.2960498,399.3527483,91.61527745
2/1/1983,127.020526,408.7218302,93.31993241
3/1/1983,127.9043771,420.0494196,92.3487208
4/1/1983,127.86494,448.3382077,93.86641043
5/1/1983,127.9595601,451.2080205,91.91520936
6/1/1983,128.5099141,464.9757309,91.48872278
7/1/1983,128.965696,446.7795254,89.09339551
8/1/1983,129.582195,444.8492891,88.75026718
9/1/1983,129.9074463,448.6567542,90.59494148
10/1/1983,130.4557856,432.8308358,90.70129994
11/1/1983,131.1498104,442.4639189,90.91562711
12/1/1983,132.003858,434.5154971,90.55132819
1/1/1984,132.2010278,425.634145,91.41150541
2/1/1984,132.5537401,405.7791634,90.26849595
3/1/1984,133.3464556,407.9929594,88.81044914
4/1/1984,133.773431,405.7322704,88.25547265
5/1/1984,134.4799777,381.1718083,84.82245241
6/1/1984,135.1959491,386.9503729,85.20339004
7/1/1984,135.8146508,375.7077879,88.22799681
8/1/1984,136.4778337,414.7678724,88.40824661
9/1/1984,137.0041833,411.3511527,89.39181779
10/1/1984,137.7247796,407.9819124,92.67404693
11/1/1984,138.7129549,400.6953555,93.68817903
12/1/1984,139.6446437,407.4828675,94.63699042
1/1/1985,140.2824939,439.776428,96.14572483
2/1/1985,140.5844754,444.1760978,93.58356943
3/1/1985,141.0520594,440.2464718,94.49282739
4/1/1985,141.3237256,436.3674602,96.05195904
5/1/1985,141.6758101,457.9858316,100.3234537
6/1/1985,142.1002236,463.160766,100.6638846
7/1/1985,142.6744506,460.3118641,99.81760333
8/1/1985,143.2587025,455.3658132,100.9448435
9/1/1985,143.7083439,434.5366218,101.23792
10/1/1985,144.0350888,451.2551285,102.5313694
11/1/1985,144.5065636,479.772046,103.8530671
12/1/1985,144.9638788,497.5928587,106.5065476
1/1/1986,145.4200318,499.5520474,106.5849719
2/1/1986,146.6736009,532.8305398,108.9549598
3/1/1986,148.1464484,558.6293064,111.8951457
4/1/1986,149.1668811,551.3933809,112.067688
5/1/1986,149.5193624,576.6025349,109.5366393
6/1/1986,149.4692735,581.8328965,112.1734053
7/1/1986,150.195445,544.2707346,113.2470917
8/1/1986,150.6133387,577.7829353,115.8265963
9/1/1986,150.5807561,529.6174089,114.5613451
10/1/1986,151.0941863,553.442954,115.9393271
11/1/1986,151.6307721,559.3286355,116.9042515
12/1/1986,152.1921597,541.9914989,116.6107829
1/1/1987,151.9166919,609.182727,117.3268897
2/1/1987,152.0779261,635.5357689,117.2230164
3/1/1987,152.1050466,647.6145501,116.2979705
4/1/1987,152.0058741,633.5606668,112.9507986
5/1/1987,152.1833663,633.8193705,111.955175
6/1/1987,152.3641602,658.4983953,112.9297448
7/1/1987,152.6839218,684.5132522,112.5240258
8/1/1987,152.6474812,706.4947983,111.2764344
9/1/1987,152.66096,688.0501034,108.5550209
10/1/1987,153.0425105,529.4742789,111.8738374
11/1/1987,153.6354993,488.6969936,111.9776936
12/1/1987,154.37423,520.7157692,112.9399926
1/1/1988,154.7202856,541.5643606,115.7825039
2/1/1988,155.0488599,567.0061514,116.5453176
3/1/1988,155.1170814,554.9017041,114.9140328
4/1/1988,155.0821801,558.2677378,113.8726819
5/1/1988,155.3614315,555.6055449,112.4606985
6/1/1988,155.5367309,581.2059966,114.1901942
7/1/1988,155.7500235,573.7198698,112.8755986
8/1/1988,156.0092434,554.2768861,112.159704
9/1/1988,155.901649,571.5529578,113.8305097
10/1/1988,156.335991,578.1378194,115.1038178
11/1/1988,157.2168923,564.9107968,112.902956
12/1/1988,158.0127242,573.0172667,111.7807007
1/1/1989,158.3149499,606.9463829,112.2366914
2/1/1989,158.7866228,592.6501657,110.5287483
3/1/1989,159.0395699,601.0154227,110.2035727
4/1/1989,159.1457023,625.6544509,112.0789804
5/1/1989,159.3587984,645.8712232,113.5636906
6/1/1989,160.0549839,638.3418715,116.5652168
7/1/1989,160.7191588,683.3860399,118.7162336
8/1/1989,161.5187901,694.0083649,115.7687074
9/1/1989,162.0434569,688.5032595,115.3578057
10/1/1989,162.2973251,663.9569705,117.5513728
11/1/1989,162.9496521,671.5298427,117.8837689
12/1/1989,163.7268132,679.5456708,117.4022923
1/1/1990,163.0813476,627.5728851,115.4170587
2/1/1990,163.3651092,632.8765035,114.8151587
3/1/1990,163.5471523,643.9877055,114.0623923
4/1/1990,164.3519678,621.6020489,112.6323921
5/1/1990,165.029591,672.8742723,114.6192275
6/1/1990,165.1985263,665.7164599,115.6586328
7/1/1990,165.6116878,655.2294285,116.8141782
8/1/1990,165.1159016,590.9426854,115.2101638
9/1/1990,164.7484086,555.5001101,115.5872083
10/1/1990,164.7395122,545.2350236,116.8215641
11/1/1990,165.3385599,577.8731557,118.3060937
12/1/1990,166.2672115,591.6822051,119.5447979
1/1/1991,166.1349182,617.6538985,120.0289145
2/1/1991,166.7104096,661.4437069,120.0117503
3/1/1991,167.2840601,677.317033,119.7292427
4/1/1991,167.8239414,676.3733048,120.4892441
5/1/1991,168.0909493,700.8465201,120.6062391
6/1/1991,168.3753032,666.7358525,119.7731314
7/1/1991,168.9105683,694.835435,120.7664099
8/1/1991,169.1647225,710.3826092,123.1803292
9/1/1991,169.1576176,699.4959957,125.3655482
10/1/1991,169.6143995,709.0487796,126.5015691
11/1/1991,169.7651867,679.924601,127.7625367
12/1/1991,170.2177241,750.2195122,131.0065978
1/1/1992,170.5099313,746.9570574,128.8620634
2/1/1992,170.4381466,754.5416593,128.3029309
3/1/1992,170.151072,734.1187315,127.1387529
4/1/1992,170.4384572,741.6757497,127.9188763
5/1/1992,170.7096247,744.2078307,129.8331822
6/1/1992,170.6193194,727.5963678,131.8816902
7/1/1992,170.7106007,754.6811425,134.6829892
8/1/1992,170.6698577,737.0002214,136.2726076
9/1/1992,170.5992004,744.3864376,138.4601918
10/1/1992,170.4020445,750.7901463,135.6898342
11/1/1992,170.6062429,779.0083439,134.2495771
12/1/1992,171.1841431,790.7594254,135.8507271
1/1/1993,170.767652,798.780889,138.9865694
2/1/1993,170.5858984,801.1455464,141.3727371
3/1/1993,170.4092282,819.2976354,141.7918602
4/1/1993,170.3420302,796.5279884,142.6678976
5/1/1993,170.5256022,818.139651,142.0617492
6/1/1993,170.7253445,820.497257,144.2335419
7/1/1993,171.1578486,817.7688304,144.0097876
8/1/1993,171.1144887,847.9954742,146.4808995
9/1/1993,171.1805959,846.4543841,146.8367993
10/1/1993,170.9035687,859.6144923,146.7140927
11/1/1993,171.2278296,842.259449,145.1648897
