Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
2007-04-30,0.3924,0.2278,0.3797,0.9999,0.3933,0.0127,0.384907436629,0.48829287048,0.281522002778,1496.59,1480.28,1495.42
2007-03-31,0.4268,0.3171,0.2561,1.0,0.4244375,0.1707,0.384907436629,0.48829287048,0.281522002778,1426.24,1413.27,1422.53
2007-02-28,0.5385,0.2385,0.2231,1.0001,0.48095,0.3154,0.384907436629,0.48829287048,0.281522002778,1461.57,1457.29,1459.85
2007-01-31,0.3951,0.2716,0.3333,1.0,0.445275,0.0618,0.384907436629,0.48829287048,0.281522002778,1440.69,1434.56,1436.31
2006-12-31,0.46,0.18,0.36,1.0,0.4308375,0.1,0.384907436629,0.48829287048,0.281522002778,1427.26,1422.05,1424.73
2006-11-30,0.4022,0.1229,0.4749,1.0,0.473025,-0.0727,0.384907436629,0.48829287048,0.281522002778,1402.67,1394.85,1395.97
2006-10-31,0.5217,0.1739,0.3043,0.9999,0.478925,0.2174,0.384907436629,0.48829287048,0.281522002778,1386.53,1379.47,1385.15
2006-09-30,0.5132,0.1579,0.3289,1.0,0.4225625,0.1843,0.384907436629,0.48829287048,0.281522002778,1339.73,1334.75,1336.87
2006-08-31,0.4157,0.3258,0.2584,0.9999,0.3434125,0.1573,0.384907436629,0.48829287048,0.281522002778,1305.5,1302.45,1302.93
2006-07-31,0.3488,0.2209,0.4302,0.9999,0.3232125,-0.0814,0.384907436629,0.48829287048,0.281522002778,1273.89,1240.25,1268.4
2006-06-30,0.386,0.2164,0.3977,1.0001,0.354675,-0.0117,0.384907436629,0.48829287048,0.281522002778,1257.29,1245.94,1255.88
2006-05-31,0.3304,0.2143,0.4554,1.0001,0.4276125,-0.125,0.384907436629,0.48829287048,0.281522002778,1264.53,1245.34,1258.57
2006-04-30,0.4211,0.2193,0.3596,1.0,0.4219875,0.0615,0.384907436629,0.48829287048,0.281522002778,1316.04,1295.57,1310.61
2006-03-31,0.3721,0.3023,0.3256,1.0,0.41655,0.0465,0.384907436629,0.48829287048,0.281522002778,1306.24,1291.84,1302.89
2006-02-28,0.4321,0.284,0.284,1.0001,0.4217,0.1481,0.384907436629,0.48829287048,0.281522002778,1294.17,1281.33,1292.67
2006-01-31,0.3077,0.359,0.3333,1.0,0.4287875,-0.0256,0.384907436629,0.48829287048,0.281522002778,1286.38,1259.42,1283.72
